,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,500,C,5,H,11,N,3,O,2,,,,,,,
1,501,C,8,H,18,N,4,O,2,,,,,,,
2,502,C,5,H,13,N,3,O,,,,,,,,
3,503,C,3,H,7,N,3,O,2,,,,,,,
4,504,C,3,H,4,N,2,O,,,,,,,,
5,505,C,9,H,15,N,4,O,9,P,,,,,,
6,507,C,12,H,21,N,3,O,13,P,2,,,,,
7,508,C,10,H,17,N,5,O,16,P,4,,,,,
8,511,C,12,H,20,N,4,O,10,P,3,S+,,,,
9,512,C,12,H,10,O,4,,,,,,,,,
10,513,C,7,H,10,O,7,,,,,,,,,
11,514,C,17,H,18,N,5,O,10,P,,,,,,
12,515,C,7,H,10,O,7,,,,,,,,,
13,516,C,6,H,14,O,10,P,2,,,,,,,
14,517,C,43,H,50,N,4,O,16,,,,,,,
15,518,C,43,H,50,N,4,O,17,,,,,,,
16,519,C,6,H,11,O,9,P,,,,,,,,
17,520,C,18,H,40,NO,5,P,,,,,,,,
18,521,C,25,H,42,N,7,O,18,P,3,S,,,,
19,522,C,44,H,52,N,4,O,17,,,,,,,
20,523,C,5,H,6,O,4,,,,,,,,,
21,524,C,4,H,4,O,6,,,,,,,,,
22,525,C,4,H,6,O,5,,,,,,,,,
23,526,C,45,H,54,N,4,O,17,,,,,,,
24,527,CH,3,CH,2,CHO,,,,,,,,,,
25,528,C,6,H,11,NO,4,,,,,,,,,
26,529,C,2,H,5,O,6,P,,,,,,,,
27,531,C,25,H,43,N,8,O,17,P,3,S,,,,
28,532,C,44,H,54,N,4,O,16,,,,,,,
29,534,C,44,H,56,N,4,O,16,,,,,,,
30,535,C,4,H,7,NO,2,,,,,,,,,
31,536,C,45,H,60,N,4,O,14,,,,,,,
32,537,C,45,H,62,N,4,O,14,,,,,,,
33,538,C,45,H,64,N,6,O,12,,,,,,,
34,539,C,45,H,64,CoN,6,O,12,,,,,,,
35,541,C,7,H,5,NO,3,,,,,,,,,
